,Rank,NCTId,BriefTitle,Condition,StudyType,EligibilityCriteria,EnrollmentCount,LocationCity,LocationCountry,LocationState,LocationZip,MinimumAge,MaximumAge,OverallStatus,Phase,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorAffiliation,LeadSponsorName,InterventionName,StartDate,CentralContactName
10,11,NCT04590560,What is the Best Interval to Screen Women 45-49 and 70-74 for Breast Cancer?,Breast Cancer,Interventional,"Inclusion Criteria:

Women invited for their first or second mammography (45 or 46 y/o) presenting for screening;
Willingness and ability to comply with scheduled visits;
Written informed consent obtained prior to performing any protocol-related procedures.

Exclusion Criteria:

Pregnancy status;
Personal history of prior breast carcinoma, either invasive or ductal carcinoma in situ (DCIS) diagnosis;
Ascertained heredo-familial risk according to the standard family history used in screening programs;
Participation in another clinical trial on BC screening;
Inability to provide signed informed consent.",60000,Meldola (FC),Italy,FC,47014,45 Years,49 Years,Recruiting,Not Applicable,,,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,screening for breast cancer with tomosynthesis and synthetic 2D mammography performed at different interval compared to actual clinical practice,"February 6, 2020",Oriana Nanni
11,12,NCT01299623,Breast Cancer Prevention Education,Breast Cancer Prevention,Interventional,"Inclusion Criteria:

African American women
Ages 35-70
No personal history of cancer
Resident of Philadelphia metropolitan area

Exclusion Criteria:

Non-African American
Male
Under 35 or over 70 years of age
Personal history of cancer
Not a resident of Philadelphia Metropolitan Area",366,Philadelphia,United States,Pennsylvania,19104,35 Years,70 Years,Completed,Not Applicable,,,University of Pennsylvania,Comparison of evidential versus non-evidential education on women's breast cancer prevention behaviors,August 2010,
12,13,NCT04834570,Breast Cancer Survivors: Main Physical and Psychosocial Problems After Completion of Treatment,Breast Cancer,Observational,"Inclusion Criteria:

Breast cancer
Adult women (age ≥ 20 years old and less than 60 years old)
Patient who has been treated by surgery, with or without adjuvant chemotherapy
Clinical Stages I, II and III
Patients considered cured, without history of recurrences
Patients who completed treatment within a minimum of 1 year and are currently being undergoing outpatient follow-up

Exclusion Criteria:

Initial diagnosis of another type of cancer, other than breast cancer
Bilateral breast cancer
Patient unable to fill out the QoL questionnaire
Patient with disease recurrence
Patient with metastatic breast cancer",105,São Paulo,Brazil,,03102002,20 Years,60 Years,Recruiting,,Thiago Vidal Brito,Instituto Brasileiro de Controle do Cancer,Instituto Brasileiro de Controle do Cancer,Quality of life in Breast Cancer Survivors,"October 5, 2020","Thiago Brito, MD"
13,14,NCT03669705,No Axillary Surgery for Early Breast Cancer.,Breast Cancer Invasive,Observational,"Inclusion Criteria:

Invasive breast cancer, unifocal
T=max 10mm
Clinical node negative and clinical M0
Histological grade 1 or 2
Both screening / clinical detected accepted
Radical operation = free margins in breast specimen
Partial mastectomy and mastectomy accepted
Fit to understand inclusion criteria

Exclusion Criteria:

Previous breast cancer diagnosis, including carcinoma in situ
Previous ipsilateral axillary dissection
Non radical operation = no free margins
Multifocal cancer
Previous treatment for other cancer.
Unable to understand information (informed consent)
Bilateral breast cancer at diagnosis",1584,,,,,,,Completed,,,,Lund University,Omitting axillary surgery in early breast cancer,"September 15, 1997",
14,15,NCT04450264,Increasing African Immigrant Women's Participation in Breast Cancer Screening,Breast Cancer,Interventional,"AIM 1:

Inclusion Criteria

≥ 18 years of age
Stakeholder/gatekeeper in the African immigrant community, and read and speak English or French.

Exclusion Criteria

<18 years of age
Cannot read and speak English or French

AIM 2:

Inclusion Criteria

≥ 40 years of age
Women born in Africa, and read and speak English or French.

Exclusion Criteria

<40 years of age
Cannot read and speak English or French",168,New York,United States,New York,10029,18 Years,74 Years,Recruiting,Not Applicable,Jamilia Sly,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,African Immigrant Breast Cancer Education Program,"February 5, 2020","Jamilia R Sly, PhD"
15,16,NCT02550210,A Study to Evaluate the Accuracy of a Breast Cancer Locator (BCL) in Patients With Palpable Cancers,Breast Cancer,Interventional,"Inclusion Criteria:

Age greater than or equal to 18 years
Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ
Patient desire to undergo breast surgery
Ability to voluntarily provide informed consent to participate prior to any study-related assessments/procedures being conducted
The cancer enhances on breast MRI imaging.

Exclusion Criteria:

Absolute contraindication to MRI, including presence of implanted electrical device (pacemaker or neurostimulator), aneurysm clip, or metallic foreign body in or near eyes
Severe claustrophobia
Contraindication to use of gadolinium-based intravenous contrast, including life-threatening allergy or compromised renal function (creatinine > 2.0)
History of median sternotomy
Pregnancy. Patient attestation that they are not pregnant will be acceptable as per standard policy for MRIs at DHMC.",23,Lebanon,United States,New Hampshire,03756,18 Years,99 Years,Completed,Not Applicable,"Richard J. Barth,Jr.",Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,Breast Cancer Locator (BCL),August 2015,
16,17,NCT03573661,A Pilot Multi-Institutional Study to Evaluate the Accuracy of a Breast Cancer Locator in Patients With Palpable Cancers,Palpable Breast Cancer,Interventional,"Inclusion Criteria:

Age > 18 years.
Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ.
Patient desire to undergo breast surgery (lumpectomy or non-skin sparing mastectomy).
Ability to voluntarily provide informed consent to participate prior to any study-related assessments/procedures being conducted.
The cancer enhances on prone breast MRI imaging
The cancer is visible on mammography.

Exclusion Criteria:

Absolute contraindication to MRI, including presence of implanted electrical device (pacemaker or neurostimulator), aneurysm clip, or metallic foreign body in or near eyes.
Severe claustrophobia.
Contraindication to use of gadolinium-based intravenous contrast, including life- threatening allergy or compromised renal function (creatinine > 2.0).
History of median sternotomy.
Pregnancy. Patient attestation that they are not pregnant will be acceptable.
Patients receiving neoadjuvant chemotherapy.",18,Burlington,United States,Massachusetts,01805,18 Years,,Completed,Not Applicable,"Richard J. Barth,Jr.",Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,Breast Cancer Locator (BCL),"May 24, 2018",
17,18,NCT01368744,Clinical Evaluation of OSNA Breast Cancer System to Extensive Frozen Section Histopathology,Breast Neoplasms,Observational,"Inclusion Criteria:

Male or female;
18 years of age or older;
Diagnosed pre-surgically with T1 or T2 breast cancer without clinical evidence of axillary lymph node involvement and scheduled for surgery including sentinel lymph node dissection;
Subjects (or the subjects' legal representatives) who have read, understood to the best of their ability and signed the informed consent form.

Exclusion Criteria:

Subjects diagnosed pre-surgically with large or locally advanced (T3 & T4) breast cancer;
Pregnant subjects, confirmed by interview with either subject or treating physician;
Subjects diagnosed with inflammatory breast cancer;
Subjects diagnosed with ductal carcinoma in situ (DCIS) when breast conservation is to be done;
Subjects with clinically suspicious, palpable axillary lymph nodes;
Subjects previously treated for or previously diagnosed with another type of invasive cancer. Subjects with skin cancer (basal cell and squamous cell carcinoma) may be included, except for subjects diagnosed with melanoma; Subjects with non-invasive carcinoma of the Cervix may also be included in this study.
Subjects who have received pre-operative systemic therapy;
Subjects who are incapable of providing written informed consent;
Subjects who have been judged to be an inappropriate candidate by any medical care provider (e.g., surgeon, oncologist or pathologist).
Subjects participating in other clinical studies where the SLN evaluation will be negatively impacted by this study.",150,Milan,Italy,,435 - 20141,18 Years,,Completed,,,,"Sysmex America, Inc.",OSNA Breast Cancer System,March 2010,
18,19,NCT01064349,Breast Cancer With Over-expression of erbB2-BRAINSTORM,Cancer,Observational,"Inclusion Criteria:

Female patients diagnosed with erbB2+ breast cancer. ErbB2 positivity will be as determined by respective institutional standards, and will be based on medical history only.
Brain metastasis diagnosis made between January 2006 - December 2008.

Exclusion Criteria:

Women who have another primary cancer diagnosed between the time of breast cancer diagnosis and brain metastasis..
Patient has leptomeningeal metastases only without parenchymal brain involvement (since this pattern of the disease requires a different treatment approach.)",144,Pasay City,Philippines,,1300,,,Completed,,,,GlaxoSmithKline,Anti-erbB2 therapy as part of a treatment regimen for either brain metastases or primary breast cancer,"May 6, 2009",
19,20,NCT02890095,Persistent Organic Pollutants and Breast Cancers (POPCASE),Breast Cancer,Interventional,"Inclusion Criteria:

Women ≥ 18 and <75 years

According to the arm:

Arm A: histologically confirmed diagnosis of invasive breast cancer (only), unilateral or bilateral, outside off recurrence and relapse. Patients who have been supported for a contralateral breast cancer can be included if a period of at least 2-years between the last systemic treatment of inclusion in the study.
Arm B: Any woman operated on for breast plastic surgery (breast lift and breast reduction cure only)
Performance status (WHO) ≤ 1

5. Patient affiliated to a social security scheme, 6. Patient who signed and dated informed consent form 7. Arm A only: unifocal lesion 8. Arm A only: Clinical stage M0

Exclusion Criteria:

Patient with uncontrolled infection
Patient pregnant or lactating
Patient with a viral infection (HIV, Hepatitis B, Hepatitis C)
Patient cannot be regularly monitored for psychological reasons, social, family or geographical.
Patient Private of liberty or under a guardianship authority / curatorship.
Arm A only: Patient to benefit from neoadjuvant therapy for breast cancer
Arm A only Patient with metastatic breast cancer
Arm A only Patient diagnosed cancer in situ (intra ductal)
Arm A only Patient with BRCA1 or BRCA2 known
Arm B only: previous breast plastic surgery, regardless of the type of intervention",800,Nantes,France,,44046,18 Years,75 Years,Recruiting,Phase 3,,,Institut Cancerologie de l'Ouest,Breast cancer surgery,January 2016,"Mario CAMPONE, MD, PhD"
20,21,NCT01521741,Prospective Screening for Breast Cancer-related Lymphedema,Lymphedema,Observational,"Inclusion Criteria:

Confirmed diagnosis of breast cancer
Ability to obtain physical positioning for perometry (e.g. abducting shoulder to 90 degrees) and BIS measurements (e.g. standing without aid)

Exclusion Criteria:

Evidence of distant metastatic disease that may cause edema,
Previous breast cancer
History of lymphedema
Pregnancy at the time of accrual and/or cardiac implants (contraindications for BIS)
Medical conditions that cause fluid retention or swelling (e.g. axillary cancer recurrence, renal insufficiency, congestive heart failure).",10000,Boston,United States,Massachusetts,02134,18 Years,,Recruiting,,"Alphonse Taghian, MD, PhD",Massachusetts General Hospital,Massachusetts General Hospital,Breast Cancer-Related Lymphedema Screening,August 2009,
21,22,NCT03681418,Role of Ultrasound-Guided Lymph Node Biopsy in Axillary Staging of Breast Cancer.,Breast Cancer,Interventional,"Inclusion Criteria:

Newly diagnosed patients with operable breast cancer regardless of whether lymph nodes are suspicious or not.

Exclusion Criteria:

Patients who had previously undergone axillary surgery.
Patients with metastatic disease and not planned for axillary surgery.
Patients with a preoperative diagnosis of a benign lesion or ductal carcinoma in situ.
Patients with severe uncorrectable bleeding diathesis.
Patients refused to sign consent.",50,,,,,18 Years,,Unknown status,Not Applicable,Mai El-Moataz Bellah Mohamed El-Sadek Khedrawy,Assiut University,Assiut University,Ultrasound-guided axillary lymph nodes FNAC and\or CNB.,October 2018,"Mai M. Khedrawy, M.B.B.CH"
22,23,NCT05140252,Avoiding Low-value Treatments in Older Women With Early-stage Breast Cancer: Piloting a Patient Decision Aid,Breast Cancer,Interventional,"Inclusion Criteria

Early stage breast cancer that is hormone receptor positive (HR+) and human epidermal growth factor negative (HER2-)
Meet criteria for omission of sentinel lymph node biopsy (SLNB)
Receiving care at Michigan Medicine

Exclusion Criteria

Non-English speaking
Male patients (current data does not support omission of SLNB in men)",40,Ann Arbor,United States,Michigan,48109,70 Years,,Not yet recruiting,Not Applicable,,,University of Michigan Rogel Cancer Center,Breast cancer decision aid,February 2022,
23,24,NCT01856036,Anti-Tumor Immunity Induced by Cryoablation of Invasive Breast Cancers,Breast Cancer,Interventional,"Inclusion Criteria:

Subjects with an invasive breast cancer 1.5 cm or less
The breast cancer must be of ductal histology, unifocal, estrogen receptor positive and her2/neu negative.
The tumor must be visible by ultrasound and the subject must not have had prior surgical resection of the primary lesion.
A clip marking the breast cancer must have been placed at the time of initial diagnosis or will be placed prior to cryotherapy.
The breast cancer must be amenable to cryoablation (visible by ultrasound and more than 2 mm from skin or chest wall).
Subjects with metastatic disease at diagnosis who elect to have their primary tumor excised are eligible for enrollment.
For subjects with breast implants, the treating physician must document that adequate distance exists between the lesion and the implant to ensure that the ablated lesion with not contact or jeopardize the implant.
Subjects must be able to provide consent.

Exclusion Criteria:

Subjects with breast cancers of lobular histology, with lymph vascular invasion or extensive intraductal component will be excluded.
Subjects with multi-centric or multi-focal breast cancers
Subjects with breast cancers that have invaded skin or have significant skin tethering (assessed clinically).
Subjects receiving chemotherapy within one year or undergoing neoadjuvant chemotherapy are excluded.
Subjects with metastatic disease at diagnosis will be excluded unless they elect definitive surgical therapy for their primary lesion.
Subjects with breast cancers not amenable to cryoablation (lesions not visible by ultrasound, against the chest wall or within 2 mm of skin) will be excluded.
Subjects diagnosed with another malignancy in the preceding 5 years will be excluded.
Subjects diagnosed with simultaneous bilateral breast cancer.
Subjects receiving immunosuppressive therapy within 6 months including oral steroids will be excluded.",2,Santa Monica,United States,California,90404,18 Years,,Terminated,Not Applicable,,,John Wayne Cancer Institute,Cryoablation,April 2013,
24,25,NCT04550910,RCT Comparing 2 Radiotherapy HypoFractionation Schedules In Breast Cancer Patients,Radiotherapy Side Effect,Interventional,"Inclusion Criteria:

Invasive carcinoma of the breast.
Complete microscopic excision of primary tumour and axillary dissection or SLNB .
Females with locally advanced breast cancer ( T3/T4 or N + or both ) who are candidate for neoadjvant chemotherapy regardless pathological stage after mastectomy.
Patients with pathological stage (T3/ T4, +/- N+) or ( N+, any T) after upfront mastectomy.
Able to comply with follow up.
Written informed consent

Exclusion Criteria:

Patients do not match with inclusion criteria.
Collagen vascular disease, specifically systemic lupus, or scleroderma.
Pregnancy or lactation at the time of radiotherapy.",166,Cairo,Egypt,Fom Elkhalig,11796,18 Years,75 Years,Recruiting,Not Applicable,"Momen Elsayed Hassan, MSc.","National Cancer Institute, Egypt","National Cancer Institute, Egypt",Hypofractionation Schedules for Breast Cancer patients after mastecomy,"January 1, 2020","Momen Hassan, MSc."
25,26,NCT01789684,Cluster Randomized Trial Comparing Interventions to Enhance Genetic Counseling Among Breast Cancer Patients,Breast Cancer,Interventional,"Participant Inclusion Criteria:

Females 18 years of age or greater
Newly diagnosed primary breast cancer prior to initial definitive surgical treatment, including In situ and Invasive cancer, Stages 0 - III. Pathologic confirmation of diagnosis is required.
Able to read and write in English or Spanish

Participant Exclusion Criteria:

Any previous diagnosis of cancer except for non-melanoma skin cancer
Stage IV breast cancer
Received HBOC genetic counseling or mutation testing prior to diagnosis. If the patient was previously tested only for a variant of uncertain clinical significance (i.e., not for known familial mutation, Jewish ethnicity panel/Multisite 3 or comprehensive sequencing) and documentation is provided, they remain eligible.",3780,Tampa,United States,Florida,33612,18 Years,,Completed,Not Applicable,,,University of South Florida,Active Provider Intervention,February 2014,
26,27,NCT01597999,Benefits of Breast MRI for Predicting of Histopathologic Cell Type of Small Breast Cancer,Invasive Breast Cancer,Interventional,"Inclusion Criteria:

Patients with invasive ductal carcinoma
Patients undergoing DCE-MRI scan which are assessed according to BI-RADS lexicon
Breast cancer patients with pathological diagnosed invasive ductal carcinoma with hormonal receptor (ER, PR and HER-2) response
Patients who have signed on informed consent form Patients will undergo MRI imaging and the physicians will practice according to practice guidelines.

Exclusion Criteria:

Patients under 18 years old or during pregnancy
Patients with MRI's contraindications e.g. patients with cardiac pacemaker or are allergic to MRI contrast agent Patients with unstable clinical abnormality and might get unexpected clinical treatment",60,Bangkoknoi,Thailand,Bangkok,10700,18 Years,,Unknown status,Phase 4,,,Mahidol University,MRI,February 2011,"Dr.Pornpim Korpraphong, Assist.Prof."
27,28,NCT04948983,The Effect of a Patient Decision Aids for Breast Cancer Screening,Breast Cancer,Interventional,"Inclusion Criteria:

Women from 50 to 69 years old
Attend the primary care centres
Fluent in Spanish

Exclusion Criteria:

Women with a personal history of breast cancer
Have a current mammogram (as recommended by the Chilean Ministry of Health)
Not having the capacity to consent.",3269,Santiago,Chile,,sANTIAGO,50 Years,69 Years,Recruiting,Not Applicable,,,Pontificia Universidad Catolica de Chile,Decision aid (DA) for breast cancer screening,"July 1, 2021","Paulina Bravo, PhD"
28,29,NCT00461253,Case-Control-Study on the Breast Cancer Risk of Mirena® Compared With Copper IUDs,Breast Cancer,Observational,"Inclusion Criteria:

cases: women with a breast cancer who are younger than 50 years of age at cancer diagnosis
controls: women without a breast cancer diagnosis who are younger than 50 years at the time of the interview

Exclusion Criteria:

women who are not willing to participate",25565,Berlin,Germany,,10115,,50 Years,Completed,,"Juergen Dinger, MD, PhD","Center for Epidemiology and Health Research, Germany","Center for Epidemiology and Health Research, Germany",Levonorgestrel-releasing IUD,October 2006,
29,30,NCT01257932,Monitoring and Predicting Breast Cancer Neoadjuvant Chemotherapy Response Using Diffuse Optical Spectroscopic Imaging,Breast Cancer,Observational,"Inclusion Criteria:

Female, 18 years of age or older, non pregnant or nursing.
Diagnosis of breast cancer and will be receiving chemo therapy treatments

Exclusion Criteria:

18 years of age or younger, pregnant or nursing.
Previous treatment including chemo therapy, radiation, surgery, and hormone therapy.
Previous diagnosis with other form of cancer.",0,Irvine,United States,California,92612,18 Years,,Withdrawn,,Beckman Laser Institute and Medical Center,"University of California, Irvine","University of California, Irvine",Diffuse Optical Spectroscopy Imaging,December 2010,
30,31,NCT04239105,Detection of Circulating Tumor Cells in Breast Cancer Patients Using a Novel Microfluidic and Raman Spectrum Device,Breast Neoplasms,Observational,"Inclusion Criteria:

All subjects need to sign the informed consent form.
Age of at least 20 and at most 70 years.
Cancer group subjects with pathology report confirmed to be malignant.
Chemotherapy is necessary before or after surgery.
Control group need to have mammogram /ultrasound results category1-3.
Patients must be available for and compliant to treatment and follow-up.

Exclusion Criteria:

Not willing to sign the informed consent form.
Pregnant or lactating patients.
Prior or concomitant secondary malignancy.
Any other serious medical pathology, such as congestive heart failure.
Other condition which may affect the CTC results.
Males.",120,,,,,20 Years,70 Years,Not yet recruiting,,Yuan Shifang,Xijing Hospital,Xijing Hospital,Microfluidic and Raman spectrum,January 2020,"Shifang Yuan, professor"
31,32,NCT05072197,Mobile Application Support for Women With Breast Cancer Undergoing Chemotherapy,Breast Neoplasms,Interventional,"Inclusion Criteria:

at least 20 years of age.
diagnosed with breast cancer for the first time.
treated with chemotherapy at the study sites.
able to access the internet with a mobile phone.
Fluent in spoken and written Chinese .

Exclusion Criteria:

patients with cognitive dysfunction.
diagnosed mental health problems.
having with other cancers.",70,Taipei,Taiwan,,,20 Years,,Recruiting,Not Applicable,,,Cheng-Hsin General Hospital,Mobile device as a support tool for the treatment of women with breast cancer undergoing chemotherapy,"October 15, 2021","Ya-Hui Liang, BS"
32,33,NCT01377363,Evaluation of Degree of Conversion of HER2 Receptor Between Primary Breast Cancer and Metastasis,Breast Cancer,Observational,"Inclusion Criteria:

Patients who have given their written informed consent to participate in the study.
Women over 18 years.
Breast cancer locally recurrent or metastatic at first relapse or after successive progressions.
Patient has to have available a sample of the primary tumor in paraffin.
Patients who are planning for the next 6 weeks, the biopsy (fine needle aspiration / drainage of fluid cavities, open biopsy, core biopsy) of locally recurrent or metastatic lesion [local relapse in the chest wall, nodal , cutaneous or subcutaneous metastases, peripheral lymph nodes and other soft tissues accessible, bone metastases, visceral metastases (lung, liver, brain, etc..) or pleural effusion / ascites / pericardial / cerebrospinal] according to clinical practice center.

Exclusion Criteria:

Patients with cognitive impairment that might impede a proper understanding of the written informed consent, according to medical criteria.
Ipsilateral breast local relapses or contralateral breast away.
Patients diagnosed with a second neoplasm, with the exception of cervical carcinoma in situ and non-melanoma skin carcinoma treated properly.",236,Alcoy,Spain,Alicante,03804,18 Years,,Completed,,,,Spanish Breast Cancer Research Group,,"December 11, 2009",
